categoria_de_la_mutuacion,nombre,dificultad,efecto,costo(PM),probabilidad _de_tocar(peso),restricciones
Auras y Habilidades Pasivas,corruption_aura_1,debil,Inflige 1 punto de daño mágico cada 4 segundos a los jugadores en un radio de 3 bloques.,8,50,
Auras y Habilidades Pasivas,corruption_aura_2,intermedio,Inflige 2 puntos de daño mágico cada 4 segundos a los jugadores en un radio de 4 bloques.,14,25,
Auras y Habilidades Pasivas,corruption_aura_3,dificil,Inflige 3 puntos de daño mágico cada 4 segundos y aplica Hambre I (1s) a los jugadores en un radio de 5 bloques.,22,8,
Auras y Habilidades Pasivas,deep_darkness_aura_1,debil,Reduce el nivel de luz en un radio de 8 bloques en 2 puntos. Los jugadores dentro del aura no pueden recibir el efecto de Visión Nocturna.,6,60,
Auras y Habilidades Pasivas,deep_darkness_aura_2,intermedio,"Destruye cualquier fuente de luz colocada por el jugador (antorchas, faroles) en un radio de 6 bloques después de 15 segundos",13,30,
Auras y Habilidades Pasivas,deep_darkness_aura_3,dificil,Aplica el efecto de Oscuridad (como el del Warden) a cualquier jugador en un radio de 10 bloques que no esté directamente adyacente a una fuente de luz,21,10,deep_darkness_aura_3 es incompatible con virulent_growth_aura_3
Auras y Habilidades Pasivas,entropy_aura_1,debil,"Cada vez que un jugador cambia de objeto en su hotbar dentro del radio de 6 bloques, hay un 10% de probabilidad de que ese slot entre en un cooldown de 1 segundo",4,80,
Auras y Habilidades Pasivas,entropy_aura_2,intermedio,La armadura equipada de cualquier jugador dentro del radio de 5 bloques pierde 1 punto de durabilidad cada 4 segundos,15,25,
Auras y Habilidades Pasivas,entropy_aura_3,dificil,"Cada 3 segundos, el aura intenta ""bloquear"" un slot aleatorio de la hotbar de cada jugador en un radio de 8 bloques. Hay un 50% de probabilidad de éxito. El slot bloqueado es completamente inutilizable durante 4 segundos.",30,1,
Auras y Habilidades Pasivas,horde_beacon_1,debil,Aumenta el rango de detección (generic.follow_range) de todos los mobs hostiles en un radio de 16 bloques en un 50%.,7,60,
Auras y Habilidades Pasivas,horde_beacon_2,intermedio,Los mobs aliados dentro de un radio de 12 bloques ya no huirán de los Creepers a punto de explotar y atacarán a los Golems de Hierro sin provocación,15,25,
Auras y Habilidades Pasivas,horde_beacon_3,dificil,"Cada 8 segundos, el mob ""marca"" al jugador. Todos los mobs aliados en un radio de 20 bloques ignorarán a cualquier otro objetivo y se centrarán exclusivamente en el jugador marcado durante 6 segundos, ganando un pequeño aumento de velocidad",26,6,
Auras y Habilidades Pasivas,interference_aura_1,debil,"Los jugadores en un radio de 5 bloques tienen un 30% de probabilidad de que cualquier bloque que coloquen (tierra, adoquín) se rompa y caiga al suelo inmediatamente.",6,55,
Auras y Habilidades Pasivas,interference_aura_2,intermedio,"Cualquier jugador que intente consumir comida o una poción en un radio de 6 bloques tiene un 50% de probabilidad de ser interrumpido, requeriendo de nuevo la accion de click",12,28,
Auras y Habilidades Pasivas,interference_aura_3,dificil,"Las Perlas de Ender lanzadas por un jugador que terminen su trayectoria dentro de un radio de 8 bloques del mob son destruidas sin teletransportar al jugador, infligiéndole 5 puntos de daño",19,9,
Auras y Habilidades Pasivas,oppressive_presence_1,debil,Aplica Lentitud I a los jugadores en un radio de 4 bloques,7,60,
Auras y Habilidades Pasivas,oppressive_presence_2,intermedio,plica Lentitud I y Debilidad I a los jugadores en un radio de 5 bloques.,13,30,
Auras y Habilidades Pasivas,oppressive_presence_3,dificil,"Aplica Lentitud I, Debilidad I y Fatiga de Minero II a los jugadores en un radio de 4 bloques",20,10,oppressive_presence_3 es incompatible con stasis_field_3
Auras y Habilidades Pasivas,phantasmal_veil_1,debil,La barra de vida del mob parpadea o muestra valores de salud ligeramente incorrectos (ej. parece tener más o menos vida de la que realmente tiene),3,90,
Auras y Habilidades Pasivas,phantasmal_veil_2,intermedio,"Cada 8 segundos, el mob crea 1-2 clones ilusorios de sí mismo en un radio de 6 bloques. Los clones no atacan y desaparecen al primer golpe.",16,20,
Auras y Habilidades Pasivas,phantasmal_veil_3,dificil,"Todos los demás mobs hostiles (Creepers, Zombis, Esqueletos, etc.) dentro del radio de 12 bloques del mob con el aura se vuelven completamente invisibles de manera intermitente 1 segundo visible, 1 segundo invisible.",32,1,
Auras y Habilidades Pasivas,projectile_shroud_1,debil,Tiene un 25% de probabilidad de destruir cualquier proyectil (flechas) que entre en un radio de 3 bloques del mob,9,45,
Auras y Habilidades Pasivas,projectile_shroud_2,intermedio,"Tiene un 40% de probabilidad de destruir proyectiles. Al hacerlo, dispara una chispa inofensiva que empuja ligeramente al tirador",15,20,
Auras y Habilidades Pasivas,projectile_shroud_3,dificil,Tiene un 60% de probabilidad de reflejar los proyectiles hacia el atacante con la misma velocidad y el 50 % del daño original,24,7,projectile_shroud_3 es incompatible con psionic_thorns_3
Auras y Habilidades Pasivas,psionic_thorns_1,debil,Refleja el 5% del daño recibido por ataques cuerpo a cuerpo de vuelta al atacante como daño mágico,6,65,
Auras y Habilidades Pasivas,psionic_thorns_2,intermedio,"Refleja el 15% del daño cuerpo a cuerpo. Además, cada vez que el jugador recibe daño reflejado, se le aplica Fatiga de Minero I por 2 segundos, ralentizando su velocidad de ataque",14,30,
Auras y Habilidades Pasivas,psionic_thorns_3,dificil,"Refleja el 33% de todo el daño cuerpo a cuerpo. Adicionalmente, si el jugador asesta un golpe crítico, el 50% del daño adicional del crítico es reflejado instantáneamente.",30,1,
Auras y Habilidades Pasivas,stasis_field_1,debil,"Los proyectiles (flechas, tridentes, bolas de nieve) que atraviesan el aura de 5 bloques ven su velocidad reducida en un 50%",8,50,
Auras y Habilidades Pasivas,stasis_field_2,intermedio,"Los jugadores dentro del aura de 6 bloques no pueden esprintar. Además, todos los cooldowns (ataques, escudos) se incrementan en un 25%",16,22,
Auras y Habilidades Pasivas,stasis_field_3,dificil,"Los jugadores dentro del aura de 7 bloques quedan ""anclados"". No pueden ser afectados por efectos de teletransporte (Coro Fruta, Perlas de Ender) y su velocidad de ataque se reduce en un 40%",26,6,
Auras y Habilidades Pasivas,vanguards_bulwark_1,debil,Otorga Regeneración I a todos los mobs aliados (excluyéndose a sí mismo) en un radio de 6 bloques,8,50,
Auras y Habilidades Pasivas,vanguards_bulwark_2,intermedio,Otorga 6 puntos de armadura (+3 íconos de armadura) a todos los mobs aliados en un radio de 8 bloques,15,25,
Auras y Habilidades Pasivas,vanguards_bulwark_3,dificil,"Otorga Resistencia I (20% de reducción de daño) a todos los mobs aliados en un radio de 8 bloques. Además, cuando un aliado muere dentro del aura, el mob ""comandante"" se cura 4 puntos de vida",25,7,
Auras y Habilidades Pasivas,virulent_growth_aura_1,debil,"Ocasionalmente, hace crecer hierba alta y enredaderas en los bloques de tierra y piedra cercanos, obstruyendo la visión del jugador.",6,65,
Auras y Habilidades Pasivas,virulent_growth_aura_2,intermedio,Aplica Veneno I a cualquier jugador que permanezca quieto sobre un bloque natural dentro del radio de 6 bloques por más de 2 segundos.,13,30,
Auras y Habilidades Pasivas,virulent_growth_aura_3,dificil,"Cada 6 segundos, invoca ""raíces espinosas"" (similares a los colmillos del Evocador) que emergen del suelo bajo los pies de los jugadores en un radio de 8 bloques, infligiendo 4 de daño ",22,9,
Efectos al Golpear (On-Hit),anti_armor_1,debil,probalidad del 5% de hacer 12 de daño a cualquier pieza de armadura de manera aleatoria,4,65,
